,occurences_epa,articles_epa,frac_of_articles_epa,occurences_nepa,articles_nepa,frac_of_articles_nepa,_merge,enrich_in_epa
capit,381,257,0.034148286,1266,1091,0.02182,both,1.564999356
born,2294,1986,0.263885198,9551,8431,0.16862,both,1.564969742
decemb,653,553,0.073478607,2620,2348,0.04696,both,1.564706292
contain,364,288,0.03826734,1386,1224,0.02448,both,1.563208329
quit,45,40,0.005314908,178,170,0.0034,both,1.563208329
owner,99,84,0.011161307,403,357,0.00714,both,1.563208329
lewi,61,39,0.005182036,221,166,0.00332,both,1.560854099
somewhat,31,31,0.004119054,136,132,0.00264,both,1.560247707
victor,34,31,0.004119054,147,132,0.00264,both,1.560247707
craig,20,19,0.002524581,104,81,0.00162,both,1.558383612
bowl,152,53,0.007042254,408,226,0.00452,both,1.558020691
senat,213,105,0.013951634,743,448,0.00896,both,1.557102046
eastern,300,226,0.030029232,1119,966,0.01932,both,1.554308074
admir,41,36,0.004783417,195,154,0.00308,both,1.553057625
judici,20,18,0.002391709,93,77,0.00154,both,1.553057625
argentina,101,61,0.008105235,350,261,0.00522,both,1.552727047
ran,106,96,0.01275578,464,412,0.00824,both,1.548031549
karnataka,23,17,0.002258836,96,73,0.00146,both,1.547147969
simul,23,17,0.002258836,97,73,0.00146,both,1.547147969
escort,21,10,0.001328727,77,43,0.00086,both,1.545031488
side,338,242,0.032155195,1301,1041,0.02082,both,1.544437816
restaur,71,43,0.005713526,309,185,0.0037,both,1.544196336
fli,117,69,0.009168217,418,297,0.00594,both,1.54347085
piec,91,69,0.009168217,371,297,0.00594,both,1.54347085
thompson,33,23,0.003056072,130,99,0.00198,both,1.54347085
compani,800,471,0.062583045,3462,2028,0.04056,both,1.542974493
path,54,29,0.003853309,173,125,0.0025,both,1.541323412
husband,61,45,0.005979272,239,194,0.00388,both,1.541049448
derbi,29,19,0.002524581,146,82,0.00164,both,1.539378934
steel,55,38,0.005049163,208,164,0.00328,both,1.539378934
main,404,354,0.047036939,1821,1530,0.0306,both,1.537154857
donat,36,31,0.004119054,172,134,0.00268,both,1.536960428
novelist,37,34,0.004517672,159,147,0.00294,both,1.536623153
preserv,84,70,0.00930109,375,303,0.00606,both,1.53483326
institut,381,263,0.034945522,1623,1139,0.02278,both,1.534043994
educ,445,335,0.044512357,2104,1451,0.02902,both,1.533851039
logic,26,18,0.002391709,123,78,0.00156,both,1.53314663
neil,21,18,0.002391709,92,78,0.00156,both,1.53314663
cm,76,54,0.007175126,329,234,0.00468,both,1.53314663
psychologist,20,12,0.001594472,63,52,0.00104,both,1.53314663
cruz,35,15,0.001993091,94,65,0.0013,both,1.53314663
brook,32,26,0.00345469,173,113,0.00226,both,1.528624074
uncl,33,26,0.00345469,132,113,0.00226,both,1.528624074
eldest,26,23,0.003056072,107,100,0.002,both,1.528036141
york,613,369,0.049030029,2368,1605,0.0321,both,1.527415241
print,100,60,0.007972362,344,261,0.00522,both,1.527272505
pull,22,20,0.002657454,99,87,0.00174,both,1.527272505
close,294,265,0.035211268,1285,1153,0.02306,both,1.526941353
simpson,31,14,0.001860218,93,61,0.00122,both,1.52476878
essay,26,22,0.0029232,130,96,0.00192,both,1.522499779
gear,21,11,0.0014616,61,48,0.00096,both,1.522499779
manufactur,186,129,0.017140579,731,564,0.01128,both,1.519554905
appoint,221,168,0.022322615,951,735,0.0147,both,1.518545234
crew,51,42,0.005580654,234,184,0.00368,both,1.516481993
elect,822,330,0.043847994,2921,1448,0.02896,both,1.514088178
women,419,234,0.031092214,1694,1027,0.02054,both,1.513739711
madison,39,23,0.003056072,128,101,0.00202,both,1.512907071
stream,57,46,0.006112145,255,202,0.00404,both,1.512907071
lower,162,135,0.017937816,713,593,0.01186,both,1.51246337
spot,76,61,0.008105235,331,268,0.00536,both,1.512170743
site,339,219,0.029099123,1370,963,0.01926,both,1.510857894
smith,105,69,0.009168217,464,304,0.00608,both,1.507930403
patient,34,27,0.003587563,209,119,0.00238,both,1.50737946
secretari,146,88,0.011692798,536,388,0.00776,both,1.506803905
partnership,42,39,0.005182036,202,172,0.00344,both,1.506405701
thursday,22,17,0.002258836,85,75,0.0015,both,1.50589069
nelson,44,24,0.003188945,157,106,0.00212,both,1.504219335
board,197,158,0.020993888,954,698,0.01396,both,1.503860162
compos,271,216,0.028700505,1194,956,0.01912,both,1.501072433
elli,29,14,0.001860218,80,62,0.00124,both,1.500175735
dj,51,37,0.00491629,225,164,0.00328,both,1.498868962
parliament,216,129,0.017140579,820,572,0.01144,both,1.498302389
sq,70,62,0.008238108,301,275,0.0055,both,1.497837799
armi,427,210,0.027903269,1461,932,0.01864,both,1.496956474
bureau,41,34,0.004517672,186,151,0.00302,both,1.495917904
landmark,41,38,0.005049163,192,169,0.00338,both,1.493835178
archaeolog,34,29,0.003853309,167,129,0.00258,both,1.493530438
depth,31,29,0.003853309,141,129,0.00258,both,1.493530438
pass,186,147,0.019532288,820,654,0.01308,both,1.493294195
cole,42,20,0.002657454,114,89,0.00178,both,1.492951775
panel,44,31,0.004119054,171,138,0.00276,both,1.49241085
parallel,33,31,0.004119054,158,138,0.00276,both,1.49241085
deck,23,11,0.0014616,83,49,0.00098,both,1.491428354
instrument,116,84,0.011161307,531,375,0.0075,both,1.488174329
australia,428,276,0.036672867,1720,1233,0.02466,both,1.487139797
ii,403,297,0.039463194,1601,1327,0.02654,both,1.486932715
approxim,313,271,0.036008504,1294,1211,0.02422,both,1.486726006
julian,27,17,0.002258836,96,76,0.00152,both,1.486076339
serial,63,36,0.004783417,212,161,0.00322,both,1.485533381
accommod,21,21,0.002790327,107,94,0.00188,both,1.484216419
pastor,24,23,0.003056072,146,103,0.00206,both,1.483530234
upper,118,92,0.012224289,497,412,0.00824,both,1.483530234
cathol,194,108,0.014350252,691,484,0.00968,both,1.482464097
assign,73,58,0.007706617,300,260,0.0052,both,1.482041742
plu,41,33,0.004384799,162,148,0.00296,both,1.481351136
rome,91,49,0.006510763,287,220,0.0044,both,1.479718793
composit,83,61,0.008105235,340,274,0.00548,both,1.479057515
bird,156,71,0.009433962,490,319,0.00638,both,1.478677471
probabl,96,79,0.010496944,400,355,0.0071,both,1.478442807
angl,30,18,0.002391709,113,81,0.00162,both,1.476363422
resid,200,162,0.021525379,863,729,0.01458,both,1.476363422
indonesian,28,16,0.002125963,102,72,0.00144,both,1.476363422
owl,22,8,0.001062982,68,36,0.00072,both,1.476363422
format,196,158,0.020993888,967,711,0.01422,both,1.476363422
grand,198,127,0.016874834,811,572,0.01144,both,1.475072894
meet,122,105,0.013951634,553,473,0.00946,both,1.474802784
georgia,126,71,0.009433962,469,320,0.0064,both,1.474056604
mathemat,131,65,0.008636726,428,293,0.00586,both,1.47384403
portugues,112,53,0.007042254,356,239,0.00478,both,1.473274795
da,67,43,0.005713526,258,194,0.00388,both,1.472558361
car,191,86,0.011427053,744,388,0.00776,both,1.472558361
ward,43,35,0.004650545,264,158,0.00316,both,1.471691385
chicago,140,97,0.012888653,679,438,0.00876,both,1.471307383
head,355,271,0.036008504,1539,1224,0.02448,both,1.470935615
solut,69,44,0.005846399,265,199,0.00398,both,1.46894451
attend,168,147,0.019532288,746,665,0.0133,both,1.468593088
acoust,28,19,0.002524581,112,86,0.00172,both,1.467779913
stand,130,113,0.015014616,589,512,0.01024,both,1.466271094
wilder,27,15,0.001993091,109,68,0.00136,both,1.465507808
brazil,148,86,0.011427053,487,390,0.0078,both,1.46500678
novel,303,170,0.02258836,1176,771,0.01542,both,1.464874212
august,628,538,0.071485517,2726,2441,0.04882,both,1.46426704
album,2424,524,0.069625299,5764,2379,0.04758,both,1.46333121
ireland,262,116,0.015413234,778,527,0.01054,both,1.462356179
hall,206,147,0.019532288,955,668,0.01336,both,1.46199761
renam,73,66,0.008769599,337,300,0.006,both,1.461599787
vers,31,22,0.0029232,145,100,0.002,both,1.461599787
billi,33,31,0.004119054,162,141,0.00282,both,1.460657428
economist,26,20,0.002657454,110,91,0.00182,both,1.460139648
boundari,67,56,0.007440872,311,255,0.0051,both,1.45899444
palac,45,34,0.004517672,255,155,0.0031,both,1.457313571
tour,356,173,0.022986978,1328,789,0.01578,both,1.456716
spain,188,112,0.014881743,619,511,0.01022,both,1.456139265
craft,25,23,0.003056072,134,105,0.0021,both,1.455272516
rice,50,23,0.003056072,193,105,0.0021,both,1.455272516
sung,28,23,0.003056072,115,105,0.0021,both,1.455272516
venu,71,53,0.007042254,303,242,0.00484,both,1.455011058
marshal,47,37,0.00491629,225,169,0.00338,both,1.454523726
command,206,131,0.017406325,983,599,0.01198,both,1.452948643
headquart,133,117,0.015546107,580,535,0.0107,both,1.45290718
mexico,195,115,0.015280361,753,526,0.01052,both,1.452505838
switch,39,33,0.004384799,202,151,0.00302,both,1.451920319
paul,182,125,0.016609088,671,572,0.01144,both,1.4518434
onto,31,26,0.00345469,127,119,0.00238,both,1.451550591
manga,70,19,0.002524581,187,87,0.00174,both,1.45090888
laid,37,36,0.004783417,175,165,0.0033,both,1.44952045
offer,182,158,0.020993888,895,726,0.01452,both,1.445860045
simon,44,42,0.005580654,239,193,0.00386,both,1.445765216
meant,34,30,0.003986181,148,138,0.00276,both,1.444268565
owen,24,15,0.001993091,78,69,0.00138,both,1.444268565
student,269,185,0.024581451,1443,852,0.01704,both,1.442573414
turkish,143,54,0.007175126,332,249,0.00498,both,1.440788399
stock,53,44,0.005846399,290,203,0.00406,both,1.439999791
john,542,420,0.055806537,2614,1938,0.03876,both,1.439797145
hors,111,52,0.006909381,403,240,0.0048,both,1.439454336
afl,22,13,0.001727345,110,60,0.0012,both,1.439454336
auto,21,13,0.001727345,76,60,0.0012,both,1.439454336
chapter,52,42,0.005580654,271,194,0.00388,both,1.438312818
parker,38,21,0.002790327,129,97,0.00194,both,1.438312818
arrang,65,58,0.007706617,318,268,0.00536,both,1.43780169
stood,34,29,0.003853309,141,134,0.00268,both,1.43780169
boxer,47,24,0.003188945,131,111,0.00222,both,1.436461708
lincoln,73,32,0.004251927,227,148,0.00296,both,1.436461708
stanford,31,16,0.002125963,111,74,0.00148,both,1.436461708
bachelor,43,38,0.005049163,199,176,0.00352,both,1.434421279
staff,88,71,0.009433962,410,329,0.00658,both,1.433732867
fr,27,25,0.003321818,133,116,0.00232,both,1.431817974
cotton,19,14,0.001860218,98,65,0.0013,both,1.430936855
univers,1184,688,0.091416423,5752,3195,0.0639,both,1.430616949
zone,75,59,0.00783949,388,274,0.00548,both,1.430563826
code,120,76,0.010098326,565,353,0.00706,both,1.430357763
diego,44,31,0.004119054,183,144,0.00288,both,1.430227065
serbia,65,31,0.004119054,179,144,0.00288,both,1.430227065
purpl,23,17,0.002258836,90,79,0.00158,both,1.42964306
bound,43,40,0.005314908,244,186,0.00372,both,1.428738795
director,373,287,0.038134467,1756,1335,0.0267,both,1.428257198
barri,29,23,0.003056072,132,107,0.00214,both,1.42807116
pupil,33,23,0.003056072,153,107,0.00214,both,1.42807116
lawyer,62,56,0.007440872,298,261,0.00522,both,1.425454338
chief,185,133,0.01767207,800,620,0.0124,both,1.425166948
chines,264,149,0.019798033,1292,695,0.0139,both,1.424318956
interior,44,39,0.005182036,226,182,0.00364,both,1.423636157
elector,56,49,0.006510763,373,229,0.00458,both,1.421563906
neighborhood,67,49,0.006510763,367,229,0.00458,both,1.421563906
servic,528,377,0.050093011,2541,1762,0.03524,both,1.42148158
alan,40,34,0.004517672,173,159,0.00318,both,1.420651594
ft,156,98,0.013021525,615,459,0.00918,both,1.418466817
awardwin,19,19,0.002524581,93,89,0.00178,both,1.418304186
scale,64,49,0.006510763,319,230,0.0046,both,1.415383193
east,675,438,0.058198246,2584,2058,0.04116,both,1.413951557
committe,168,114,0.015147489,771,536,0.01072,both,1.413012006
gate,58,27,0.003587563,193,127,0.00254,both,1.412426423
publish,574,426,0.056603774,2911,2004,0.04008,both,1.4122698
invit,47,42,0.005580654,232,198,0.00396,both,1.409255993
gospel,25,21,0.002790327,145,99,0.00198,both,1.409255993
termin,59,46,0.006112145,285,217,0.00434,both,1.408328241
ann,100,71,0.009433962,401,335,0.0067,both,1.408054069
vancouv,28,25,0.003321818,171,118,0.00236,both,1.407549872
run,425,301,0.039994685,1801,1421,0.02842,both,1.407272523
wait,23,22,0.0029232,148,104,0.00208,both,1.405384411
row,51,37,0.00491629,245,175,0.0035,both,1.404654341
toronto,113,56,0.007440872,397,265,0.0053,both,1.403938046
citi,1534,742,0.098591549,5328,3513,0.07026,both,1.403238675
post,192,151,0.020063779,878,715,0.0143,both,1.403061462
patrick,43,38,0.005049163,209,180,0.0036,both,1.402545251
metropolitan,90,65,0.008636726,349,308,0.00616,both,1.402065912
repres,588,459,0.060988573,2626,2175,0.0435,both,1.40203616
mp,76,46,0.006112145,310,218,0.00436,both,1.40186802
newspap,114,81,0.010762689,561,384,0.00768,both,1.401391842
jump,47,31,0.004119054,237,147,0.00294,both,1.401038757
class,191,165,0.021923997,1120,783,0.01566,both,1.399999796
franklin,48,28,0.003720436,189,133,0.00266,both,1.398660084
wellknown,36,36,0.004783417,171,171,0.00342,both,1.398660084
inch,47,29,0.003853309,220,138,0.00276,both,1.396126279
dr,112,80,0.010629817,529,381,0.00762,both,1.39498906
settlement,157,98,0.013021525,617,467,0.00934,both,1.394167599
hugh,38,30,0.003986181,195,143,0.00286,both,1.393769664
highlight,26,26,0.00345469,125,124,0.00248,both,1.393020325
isl,30,26,0.00345469,169,124,0.00248,both,1.393020325
medium,43,35,0.004650545,185,167,0.00334,both,1.392378676
han,35,31,0.004119054,189,148,0.00296,both,1.391572279
merg,64,59,0.00783949,313,282,0.00564,both,1.389980455
ne,42,41,0.005447781,210,196,0.00392,both,1.389740058
packag,26,23,0.003056072,151,110,0.0022,both,1.389123765
manag,398,267,0.035477013,1865,1277,0.02554,both,1.389076469
malaysia,63,34,0.004517672,243,163,0.00326,both,1.385788979
folk,61,49,0.006510763,306,235,0.0047,both,1.385268657
stadium,113,74,0.00983258,662,355,0.0071,both,1.384870477
georg,264,205,0.027238905,1200,984,0.01968,both,1.384090708
aircraft,107,61,0.008105235,531,293,0.00586,both,1.383145936
joseph,105,97,0.012888653,538,466,0.00932,both,1.382902647
fish,141,77,0.010231199,579,370,0.0074,both,1.382594393
jeff,32,21,0.002790327,111,101,0.00202,both,1.381349934
field,289,222,0.029497741,1433,1068,0.02136,both,1.380980392
catherin,19,16,0.002125963,94,77,0.00154,both,1.380495667
yellow,65,49,0.006510763,287,236,0.00472,both,1.379398875
detroit,45,33,0.004384799,195,159,0.00318,both,1.378867724
chef,21,11,0.0014616,118,53,0.00106,both,1.378867724
salvador,25,11,0.0014616,71,53,0.00106,both,1.378867724
su,23,11,0.0014616,60,53,0.00106,both,1.378867724
advantag,33,28,0.003720436,144,135,0.0027,both,1.377939194
oliv,33,28,0.003720436,157,135,0.0027,both,1.377939194
martin,106,76,0.010098326,459,367,0.00734,both,1.375793706
labour,143,50,0.006643635,347,242,0.00484,both,1.372651942
ukrainian,48,38,0.005049163,312,184,0.00368,both,1.372055136
assist,143,123,0.016343343,708,596,0.01192,both,1.371085829
cup,622,195,0.025910178,1669,945,0.0189,both,1.370908892
ensur,28,26,0.00345469,137,126,0.00252,both,1.370908892
central,527,413,0.054876428,2328,2002,0.04004,both,1.370540169
physician,40,33,0.004384799,211,160,0.0032,both,1.370249801
school,1193,497,0.066037736,5407,2410,0.0482,both,1.370077507
captain,147,80,0.010629817,499,388,0.00776,both,1.369821731
kazakhstan,32,14,0.001860218,92,68,0.00136,both,1.367807288
serv,884,633,0.084108424,4067,3079,0.06158,both,1.36583995
collin,27,15,0.001993091,100,73,0.00146,both,1.365130561
indi,44,39,0.005182036,210,190,0.0038,both,1.363693582
southern,343,268,0.035609886,1533,1306,0.02612,both,1.363318749
chase,19,16,0.002125963,96,78,0.00156,both,1.362797005
sabha,21,16,0.002125963,127,78,0.00156,both,1.362797005
exhibit,74,65,0.008636726,437,317,0.00634,both,1.362259624
mari,149,107,0.01421738,717,522,0.01044,both,1.361817984
small,375,325,0.04318363,1853,1586,0.03172,both,1.361400696
illustr,64,51,0.006776508,340,249,0.00498,both,1.360744599
engin,292,171,0.022721233,1401,835,0.0167,both,1.360552878
instruct,30,28,0.003720436,167,137,0.00274,both,1.357823293
taiwan,81,28,0.003720436,196,137,0.00274,both,1.357823293
firm,72,57,0.007573744,391,279,0.00558,both,1.357301855
mail,25,20,0.002657454,149,98,0.00196,both,1.355843959
mr,77,63,0.008370981,445,309,0.00618,both,1.354527605
triniti,23,21,0.002790327,132,103,0.00206,both,1.354527605
bought,33,32,0.004251927,171,157,0.00314,both,1.354116769
bottom,25,23,0.003056072,129,113,0.00226,both,1.352244373
storag,31,23,0.003056072,164,113,0.00226,both,1.352244373
distanc,66,58,0.007706617,357,285,0.0057,both,1.352038081
washington,199,136,0.018070688,1004,669,0.01338,both,1.35057461
brown,161,105,0.013951634,778,517,0.01034,both,1.349287653
melbourn,61,40,0.005314908,281,197,0.00394,both,1.348961502
match,213,148,0.019665161,1211,729,0.01458,both,1.348776459
wright,24,14,0.001860218,107,69,0.00138,both,1.347983994
councillor,21,16,0.002125963,106,79,0.00158,both,1.34554641
theatr,134,80,0.010629817,760,395,0.0079,both,1.34554641
leed,25,18,0.002391709,131,89,0.00178,both,1.343656597
undergradu,24,21,0.002790327,115,104,0.00208,both,1.341503301
nd,103,90,0.011958544,534,446,0.00892,both,1.340643914
competit,267,194,0.025777305,1321,962,0.01924,both,1.339776785
thoma,155,127,0.016874834,803,630,0.0126,both,1.339272532
norman,36,27,0.003587563,173,134,0.00268,both,1.338642953
philip,35,31,0.004119054,191,154,0.00308,both,1.337355177
formula,56,32,0.004251927,245,159,0.00318,both,1.337083854
kilomet,42,37,0.00491629,239,184,0.00368,both,1.335948422
festiv,174,116,0.015413234,1174,577,0.01154,both,1.335635539
robert,179,162,0.021525379,1010,807,0.01614,both,1.333666585
terri,23,19,0.002524581,116,95,0.0019,both,1.328727079
congreg,26,23,0.003056072,161,115,0.0023,both,1.328727079
rocki,47,26,0.00345469,148,130,0.0026,both,1.328727079
suburban,24,21,0.002790327,121,105,0.0021,both,1.328727079
cyclon,26,8,0.001062982,112,40,0.0008,both,1.328727079
genera,22,15,0.001993091,94,75,0.0015,both,1.328727079
modul,21,11,0.0014616,91,55,0.0011,both,1.328727079
design,531,381,0.050624502,2748,1907,0.03814,both,1.327333553
cover,281,241,0.032022323,1449,1207,0.02414,both,1.326525378
columbia,94,81,0.010762689,558,406,0.00812,both,1.325454353
oper,634,372,0.049428647,2640,1867,0.03734,both,1.323745243
commun,709,531,0.070555408,3623,2669,0.05338,both,1.321757361
player,944,391,0.051953229,2746,1968,0.03936,both,1.319949919
tropic,95,60,0.007972362,445,302,0.00604,both,1.319927562
allen,49,29,0.003853309,196,146,0.00292,both,1.319626209
band,874,315,0.041854903,3089,1586,0.03172,both,1.319511444
bat,58,27,0.003587563,210,136,0.00272,both,1.318957027
own,208,182,0.024182833,1033,918,0.01836,both,1.317147759
front,124,98,0.013021525,593,495,0.0099,both,1.315305594
rhode,23,19,0.002524581,132,96,0.00192,both,1.314886172
west,711,474,0.062981664,3061,2399,0.04798,both,1.312664935
place,679,578,0.076800425,3460,2926,0.05852,both,1.312379104
nurs,28,16,0.002125963,125,81,0.00162,both,1.312323041
north,859,588,0.078129152,3978,2977,0.05954,both,1.312212836
kannada,23,14,0.001860218,99,71,0.00142,both,1.310012614
ussr,24,14,0.001860218,100,71,0.00142,both,1.310012614
deleg,35,27,0.003587563,172,137,0.00274,both,1.309329604
translat,119,102,0.013553016,698,518,0.01036,both,1.308206198
constitu,81,66,0.008769599,511,336,0.00672,both,1.30499981
gray,30,22,0.0029232,167,112,0.00224,both,1.30499981
sox,29,11,0.0014616,92,56,0.00112,both,1.30499981
former,664,571,0.075870316,3297,2909,0.05818,both,1.304061812
grandfath,20,20,0.002657454,110,102,0.00204,both,1.302673607
jacob,23,20,0.002657454,142,102,0.00204,both,1.302673607
submarin,30,20,0.002657454,180,102,0.00204,both,1.302673607
poem,57,39,0.005182036,327,199,0.00398,both,1.302018997
canadian,287,193,0.025644433,1375,987,0.01974,both,1.299110062
davi,67,42,0.005580654,306,215,0.0043,both,1.29782645
decor,49,42,0.005580654,263,215,0.0043,both,1.29782645
bosnia,33,16,0.002125963,119,82,0.00164,both,1.296319102
mini,32,8,0.001062982,64,41,0.00082,both,1.296319102
pair,54,47,0.006245017,306,241,0.00482,both,1.295646737
traffic,32,30,0.003986181,226,154,0.00308,both,1.294214688
bueno,20,14,0.001860218,91,72,0.00144,both,1.291817994
council,230,181,0.02404996,1502,931,0.01862,both,1.291619771
governor,144,104,0.013818762,733,535,0.0107,both,1.291473049
nhl,66,20,0.002657454,165,103,0.00206,both,1.290026291
afterward,26,26,0.00345469,142,134,0.00268,both,1.289063585
mount,117,72,0.009566835,512,372,0.00744,both,1.285864916
librari,77,59,0.00783949,581,305,0.0061,both,1.285162257
team,1281,542,0.072017008,4857,2808,0.05616,both,1.282354126
master,125,105,0.013951634,678,544,0.01088,both,1.282319332
held,448,381,0.050624502,2387,1974,0.03948,both,1.282282212
train,222,175,0.023252724,1306,908,0.01816,both,1.280436338
runner,27,20,0.002657454,128,104,0.00208,both,1.277622192
event,430,312,0.041456285,2254,1623,0.03246,both,1.277149873
dedic,83,79,0.010496944,453,411,0.00822,both,1.277000478
floor,52,38,0.005049163,284,198,0.00396,both,1.275041137
room,66,52,0.006909381,380,271,0.00542,both,1.274793508
monument,51,36,0.004783417,276,188,0.00376,both,1.272185502
editor,96,76,0.010098326,536,397,0.00794,both,1.271829446
play,1590,962,0.127823545,7805,5028,0.10056,both,1.271117194
buffalo,27,22,0.0029232,158,115,0.0023,both,1.270956337
dri,58,42,0.005580654,264,220,0.0044,both,1.268330394
club,922,321,0.042652139,2891,1684,0.03368,both,1.266393683
yard,43,28,0.003720436,218,147,0.00294,both,1.265454361
sri,86,40,0.005314908,337,210,0.0042,both,1.265454361
coal,49,20,0.002657454,162,105,0.0021,both,1.265454361
farmer,45,35,0.004650545,226,184,0.00368,both,1.263734994
frank,81,58,0.007706617,403,305,0.0061,both,1.263379846
moor,36,29,0.003853309,242,153,0.00306,both,1.259251154
wheel,32,18,0.002391709,158,95,0.0019,both,1.258794075
northern,353,263,0.034945522,1693,1389,0.02778,both,1.257938164
georgian,43,17,0.002258836,165,90,0.0018,both,1.254908908
line,330,240,0.03188945,1973,1272,0.02544,both,1.253516113
cardiff,19,10,0.001328727,77,53,0.00106,both,1.253516113
local,354,309,0.041057667,2078,1638,0.03276,both,1.253286531
ice,193,88,0.011692798,705,467,0.00934,both,1.251905599
royal,229,165,0.021923997,1236,876,0.01752,both,1.251369681
maximum,31,29,0.003853309,193,154,0.00308,both,1.251074198
malayalam,22,16,0.002125963,104,85,0.0017,both,1.250566663
legisl,116,98,0.013021525,677,521,0.01042,both,1.249666543
wood,78,60,0.007972362,482,319,0.00638,both,1.249586595
marri,176,142,0.018867925,915,755,0.0151,both,1.249531426
saint,146,89,0.011825671,703,474,0.00948,both,1.247433651
bee,40,12,0.001594472,97,64,0.00128,both,1.245681637
maharashtra,21,15,0.001993091,103,80,0.0016,both,1.245681637
ss,22,15,0.001993091,100,80,0.0016,both,1.245681637
wife,132,116,0.015413234,737,619,0.01238,both,1.245010834
guitar,112,53,0.007042254,462,283,0.00566,both,1.244214403
son,290,238,0.031623704,1656,1272,0.02544,both,1.243070145
lanka,60,29,0.003853309,221,155,0.0031,both,1.243002752
colleg,497,314,0.04172203,2763,1679,0.03358,both,1.242466656
japan,298,158,0.020993888,1107,845,0.0169,both,1.242241885
keith,20,20,0.002657454,124,107,0.00214,both,1.241801009
harold,23,17,0.002258836,101,91,0.00182,both,1.241118701
nichola,22,17,0.002258836,103,91,0.00182,both,1.241118701
church,528,205,0.027238905,2415,1098,0.02196,both,1.240387301
ride,60,44,0.005846399,354,236,0.00472,both,1.238643888
bulgaria,50,24,0.003188945,166,129,0.00258,both,1.23602519
belong,114,107,0.01421738,623,576,0.01152,both,1.234147548
maker,19,18,0.002391709,110,97,0.00194,both,1.232839558
squar,147,112,0.014881743,773,605,0.0121,both,1.22989614
jersey,96,62,0.008238108,547,335,0.0067,both,1.229568342
nonprofit,47,44,0.005846399,257,238,0.00476,both,1.228235115
length,112,88,0.011692798,527,476,0.00952,both,1.228235115
spring,86,73,0.009699708,496,395,0.0079,both,1.227811099
architectur,93,68,0.009035344,518,368,0.00736,both,1.22762828
bernard,25,17,0.002258836,108,92,0.00184,both,1.22762828
sydney,66,48,0.00637789,383,260,0.0052,both,1.226517304
edward,120,88,0.011692798,572,477,0.00954,both,1.225660199
fred,24,19,0.002524581,123,103,0.00206,both,1.225524976
region,747,496,0.065904863,3394,2694,0.05388,both,1.223178603
island,477,234,0.031092214,2419,1271,0.02542,both,1.223139798
daughter,128,108,0.014350252,748,587,0.01174,both,1.22233837
connecticut,32,27,0.003587563,246,147,0.00294,both,1.220259563
variabl,22,18,0.002391709,170,98,0.00196,both,1.220259563
french,456,260,0.034546904,1997,1417,0.02834,both,1.219015669
resort,29,26,0.00345469,219,142,0.00284,both,1.216440284
rican,25,13,0.001727345,86,71,0.00142,both,1.216440284
newcastl,22,15,0.001993091,119,82,0.00164,both,1.215299158
altitud,20,19,0.002524581,132,104,0.00208,both,1.213741082
map,56,38,0.005049163,295,208,0.00416,both,1.213741082
commiss,159,122,0.01621047,823,668,0.01336,both,1.213358561
treasur,24,21,0.002790327,140,115,0.0023,both,1.213185594
arthur,65,44,0.005846399,279,241,0.00482,both,1.212945882
area,891,579,0.076933298,4367,3178,0.06356,both,1.210404309
francisco,71,53,0.007042254,391,291,0.00582,both,1.210009196
defend,116,101,0.013420144,600,555,0.0111,both,1.209021937
croatian,53,18,0.002391709,185,99,0.00198,both,1.207933709
horn,29,18,0.002391709,130,99,0.00198,both,1.207933709
bell,72,40,0.005314908,349,220,0.0044,both,1.207933709
denni,24,22,0.0029232,145,121,0.00242,both,1.207933709
cave,21,16,0.002125963,200,88,0.00176,both,1.207933709
itali,198,107,0.01421738,679,590,0.0118,both,1.204862691
lawrenc,41,29,0.003853309,193,160,0.0032,both,1.204158916
tokyo,36,27,0.003587563,192,149,0.00298,both,1.20388024
peter,138,104,0.013818762,698,574,0.01148,both,1.20372488
london,286,198,0.026308796,1589,1093,0.02186,both,1.203513091
san,209,144,0.01913367,1255,795,0.0159,both,1.203375468
feed,57,49,0.006510763,334,271,0.00542,both,1.201247729
south,972,621,0.082513952,4701,3436,0.06872,both,1.200726886
reserv,90,75,0.009965453,579,415,0.0083,both,1.200657
transport,99,82,0.010895562,605,454,0.00908,both,1.199951768
refere,20,9,0.001195854,92,50,0.001,both,1.195854372
pittsburgh,35,25,0.003321818,180,139,0.00278,both,1.194898453
tower,108,46,0.006112145,421,256,0.00512,both,1.193778235
hudson,31,14,0.001860218,101,78,0.00156,both,1.192447379
collegi,29,21,0.002790327,139,117,0.00234,both,1.192447379
japanes,292,138,0.018336434,1089,769,0.01538,both,1.192225858
valley,135,106,0.014084507,899,591,0.01182,both,1.19158266
massachusett,84,60,0.007972362,445,335,0.0067,both,1.189904847
philadelphia,79,46,0.006112145,350,257,0.00514,both,1.189133184
util,45,34,0.004517672,213,190,0.0038,both,1.188861071
connect,145,127,0.016874834,857,711,0.01422,both,1.186697181
swim,40,30,0.003986181,261,168,0.00336,both,1.186363464
seattl,31,25,0.003321818,203,140,0.0028,both,1.186363464
specialis,20,20,0.002657454,116,112,0.00224,both,1.186363464
specimen,23,15,0.001993091,103,84,0.00168,both,1.186363464
england,417,267,0.035477013,1855,1496,0.02992,both,1.185729045
irish,163,86,0.011427053,684,482,0.00964,both,1.18537893
circuit,46,36,0.004783417,286,202,0.00404,both,1.184014229
